age,gender,education,county,employment_status,years_experience,job_applications,months_unemployed,unemployment_barrier,description,recommended_intervention
24,Male,Diploma,Machakos,Unemployed,12,43,13,Skills_Gap,I lack the technical skills needed for jobs in my field,Industry certifications
22,Female,Bachelor,Kakamega,Student,3,22,28,Skills_Gap,I lack the technical skills needed for jobs in my field,Industry certifications
26,Male,Diploma,Nakuru,Employed,0,23,18,Market_Mismatch,My field of study doesn't have many opportunities locally,Alternative career path mentorship
19,Female,Secondary,Machakos,Unemployed,14,17,33,Resource_Constraints,Starting my own business requires capital I don't have,Job search stipend
26,Female,Bachelor,Nakuru,Employed,4,41,33,Resource_Constraints,Starting my own business requires capital I don't have,Business incubation
32,Male,Primary,Nyeri,Unpaid work,5,35,21,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Gig economy onboarding
19,Female,Masters,Kakamega,Unemployed,14,22,33,Opportunity_Shortage,There are very few job openings in Kakamega,Entrepreneurship support
28,Female,Secondary,Nyeri,Unemployed,0,31,8,Geographic_Barrier,Remote work options are limited in my field,Commuter subsidy
22,Female,Diploma,Nakuru,Unemployed,9,17,11,Opportunity_Shortage,There are very few job openings in Nakuru,Gig economy onboarding
24,Female,Bachelor,Machakos,Unemployed,7,32,2,Skills_Gap,My current skills are outdated for the modern job market in Machakos,Apprenticeship placement
22,Female,Diploma,Nakuru,Self-employed,1,44,18,Skills_Gap,I need additional training to qualify for available positions,Industry certifications
18,Male,Bachelor,Eldoret,Employed,6,20,32,Market_Mismatch,My Bachelor qualification doesn't match what employers want,Industry transition program
30,Male,Primary,Kakamega,Student,10,49,34,Skills_Gap,I lack the technical skills needed for jobs in my field,Digital skills bootcamp
29,Male,Diploma,Machakos,Employed,11,25,13,Skills_Gap,I lack the technical skills needed for jobs in my field,Apprenticeship placement
21,Male,Diploma,Nyeri,Employed,3,33,33,Resource_Constraints,Starting my own business requires capital I don't have,Job search stipend
32,Female,Diploma,Kakamega,Employed,14,46,10,Market_Mismatch,The industry I trained for is declining in Kenya,Alternative career path mentorship
23,Male,Bachelor,Kakamega,Self-employed,13,31,16,Opportunity_Shortage,The job market in Kakamega is saturated with job seekers,Job creation initiative
34,Male,Primary,Nyeri,Self-employed,5,9,7,Geographic_Barrier,Remote work options are limited in my field,Commuter subsidy
21,Male,Secondary,Nairobi,Unemployed,12,49,4,Opportunity_Shortage,There are very few job openings in Nairobi,Gig economy onboarding
34,Male,Secondary,Mombasa,Employed,6,27,16,Market_Mismatch,There's a disconnect between my education and available jobs,Alternative career path mentorship
29,Female,Diploma,Nakuru,Employed,6,38,16,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Gig economy onboarding
24,Female,Diploma,Nyeri,Self-employed,5,19,24,Geographic_Barrier,Remote work options are limited in my field,Relocation support
34,Female,Primary,Kisumu,Student,2,11,27,Skills_Gap,I need additional training to qualify for available positions,Apprenticeship placement
25,Male,Masters,Machakos,Unemployed,4,36,0,Market_Mismatch,The industry I trained for is declining in Kenya,Career redirection counseling
20,Female,Secondary,Kisumu,Self-employed,8,32,26,Resource_Constraints,The cost of living while job hunting is too high,Job search stipend
22,Male,Secondary,Kakamega,Employed,7,17,30,Opportunity_Shortage,The job market in Kakamega is saturated with job seekers,Entrepreneurship support
26,Female,Diploma,Mombasa,Unemployed,5,2,23,Skills_Gap,Companies want experience with technologies I haven't learned,Technical training program
27,Female,Masters,Machakos,Unemployed,3,2,30,Opportunity_Shortage,There are very few job openings in Machakos,Gig economy onboarding
26,Female,Diploma,Nyeri,Employed,9,35,24,Resource_Constraints,Starting my own business requires capital I don't have,Startup capital support
29,Male,PhD,Kisumu,Unemployed,2,11,22,Market_Mismatch,My skills are not valued in the current job market,Alternative career path mentorship
18,Male,Bachelor,Kisumu,Self-employed,7,1,25,Resource_Constraints,I lack resources to continue searching for jobs,Startup capital support
32,Male,Secondary,Eldoret,Student,6,12,26,Skills_Gap,Companies want experience with technologies I haven't learned,Digital skills bootcamp
24,Female,Bachelor,Nakuru,Employed,7,27,22,Geographic_Barrier,Living in Nakuru limits my access to job opportunities,Satellite office placement
24,Female,Secondary,Mombasa,Unemployed,9,47,4,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
28,Female,Secondary,Kakamega,Employed,11,40,19,Opportunity_Shortage,Too many graduates are competing for too few positions,Job creation initiative
25,Male,Diploma,Eldoret,Employed,9,4,35,Geographic_Barrier,Jobs in my field are only available far from where I live,Satellite office placement
21,Male,Secondary,Nairobi,Employed,2,16,27,Resource_Constraints,I can't afford the transportation costs for interviews,Transport subsidy
27,Female,Secondary,Nyeri,Employed,3,46,33,Skills_Gap,I need additional training to qualify for available positions,Industry certifications
35,Female,Primary,Nairobi,Employed,10,44,23,Resource_Constraints,I can't afford the transportation costs for interviews,Business incubation
33,Female,Diploma,Nyeri,Employed,8,7,23,Market_Mismatch,My field of study doesn't have many opportunities locally,Career redirection counseling
24,Male,Bachelor,Nairobi,Employed,9,17,24,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
34,Male,Secondary,Nairobi,Student,3,37,23,Opportunity_Shortage,The job market in Nairobi is saturated with job seekers,Gig economy onboarding
21,Male,Bachelor,Eldoret,Unemployed,4,18,26,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
18,Female,Secondary,Nakuru,Unemployed,9,10,30,Resource_Constraints,I can't afford the transportation costs for interviews,Business incubation
19,Male,Secondary,Mombasa,Self-employed,8,26,0,Market_Mismatch,My skills are not valued in the current job market,Career redirection counseling
29,Female,Bachelor,Kisumu,Unemployed,8,18,4,Opportunity_Shortage,The job market in Kisumu is saturated with job seekers,Job creation initiative
33,Female,Secondary,Nairobi,Employed,7,46,14,Market_Mismatch,My Secondary qualification doesn't match what employers want,Industry transition program
29,Female,Secondary,Nairobi,Unemployed,9,39,33,Opportunity_Shortage,Companies aren't hiring in my field right now,Entrepreneurship support
30,Male,Primary,Eldoret,Unemployed,10,13,26,Resource_Constraints,I can't afford the transportation costs for interviews,Job search stipend
20,Male,Bachelor,Kakamega,Employed,13,16,20,Market_Mismatch,There's a disconnect between my education and available jobs,Career redirection counseling
32,Female,Bachelor,Mombasa,Employed,2,43,32,Market_Mismatch,My field of study doesn't have many opportunities locally,Alternative career path mentorship
29,Female,Secondary,Mombasa,Unemployed,14,9,10,Resource_Constraints,I need financial support to relocate where jobs are available,Startup capital support
27,Male,Secondary,Kisumu,Self-employed,6,49,9,Geographic_Barrier,I can't relocate to where the jobs are available,Remote work opportunity
26,Female,Secondary,Eldoret,Employed,13,21,35,Geographic_Barrier,Remote work options are limited in my field,Satellite office placement
18,Female,Diploma,Machakos,Employed,5,5,13,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Public works program
21,Male,Primary,Nakuru,Employed,12,25,1,Opportunity_Shortage,There are very few job openings in Nakuru,Entrepreneurship support
25,Female,Secondary,Kakamega,Self-employed,5,40,14,Geographic_Barrier,Jobs in my field are only available far from where I live,Remote work opportunity
33,Male,Secondary,Kisumu,Self-employed,0,18,22,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Job creation initiative
33,Male,Secondary,Machakos,Unemployed,9,42,10,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
24,Male,Secondary,Nyeri,Student,3,36,34,Market_Mismatch,My Secondary qualification doesn't match what employers want,Career redirection counseling
33,Male,Secondary,Nakuru,Self-employed,3,19,7,Skills_Gap,My education didn't provide practical skills employers need,Industry certifications
30,Female,Bachelor,Nairobi,Self-employed,13,34,5,Geographic_Barrier,Jobs in my field are only available far from where I live,Commuter subsidy
29,Female,Secondary,Eldoret,Employed,4,46,25,Geographic_Barrier,There's an urban-rural divide in job availability,Commuter subsidy
20,Female,Diploma,Nakuru,Student,13,49,22,Skills_Gap,Companies want experience with technologies I haven't learned,Apprenticeship placement
19,Male,Secondary,Kisumu,Employed,12,20,8,Resource_Constraints,The cost of living while job hunting is too high,Job search stipend
33,Male,Secondary,Kisumu,Unemployed,7,33,9,Skills_Gap,Companies want experience with technologies I haven't learned,Digital skills bootcamp
30,Female,Secondary,Kisumu,Self-employed,9,8,2,Skills_Gap,My education didn't provide practical skills employers need,Apprenticeship placement
34,Male,Primary,Nairobi,Unemployed,11,24,7,Geographic_Barrier,I can't relocate to where the jobs are available,Relocation support
28,Female,Primary,Eldoret,Unemployed,6,18,17,Skills_Gap,Companies want experience with technologies I haven't learned,Digital skills bootcamp
30,Female,Bachelor,Nyeri,Unemployed,8,25,27,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
26,Male,Bachelor,Eldoret,Self-employed,13,12,16,Resource_Constraints,I lack resources to continue searching for jobs,Startup capital support
27,Female,Masters,Nairobi,Employed,7,4,26,Opportunity_Shortage,There are very few job openings in Nairobi,Gig economy onboarding
35,Male,Diploma,Nakuru,Unpaid work,5,29,18,Geographic_Barrier,Remote work options are limited in my field,Relocation support
33,Female,Primary,Kisumu,Unemployed,1,39,7,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Gig economy onboarding
23,Male,Diploma,Machakos,Unpaid work,11,7,7,Market_Mismatch,There's a disconnect between my education and available jobs,Industry transition program
34,Female,Secondary,Mombasa,Unemployed,0,45,21,Skills_Gap,My education didn't provide practical skills employers need,Digital skills bootcamp
26,Female,Primary,Nakuru,Unemployed,0,42,28,Geographic_Barrier,Living in Nakuru limits my access to job opportunities,Satellite office placement
32,Female,Bachelor,Eldoret,Unemployed,13,9,3,Market_Mismatch,My skills are not valued in the current job market,Skill conversion training
18,Female,Primary,Machakos,Unemployed,7,26,4,Opportunity_Shortage,Companies aren't hiring in my field right now,Gig economy onboarding
33,Male,Secondary,Nairobi,Unemployed,7,34,19,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
32,Male,Bachelor,Kisumu,Employed,6,2,30,Geographic_Barrier,Remote work options are limited in my field,Remote work opportunity
30,Male,Bachelor,Eldoret,Employed,2,33,9,Market_Mismatch,The industry I trained for is declining in Kenya,Alternative career path mentorship
26,Female,Diploma,Mombasa,Unemployed,1,4,31,Opportunity_Shortage,Too many graduates are competing for too few positions,Entrepreneurship support
32,Female,Bachelor,Kakamega,Employed,8,49,25,Geographic_Barrier,Jobs in my field are only available far from where I live,Relocation support
21,Female,Secondary,Kisumu,Unpaid work,3,27,35,Market_Mismatch,The industry I trained for is declining in Kenya,Career redirection counseling
25,Female,Diploma,Nairobi,Employed,4,44,11,Resource_Constraints,I can't afford the transportation costs for interviews,Business incubation
19,Female,Bachelor,Machakos,Unemployed,14,34,20,Skills_Gap,Companies want experience with technologies I haven't learned,Industry certifications
35,Male,Bachelor,Nakuru,Unemployed,3,0,9,Skills_Gap,I need additional training to qualify for available positions,Industry certifications
35,Male,Secondary,Nyeri,Unpaid work,9,8,9,Opportunity_Shortage,Too many graduates are competing for too few positions,Gig economy onboarding
31,Female,Bachelor,Mombasa,Unemployed,1,47,26,Opportunity_Shortage,There are very few job openings in Mombasa,Entrepreneurship support
22,Female,Masters,Nairobi,Unemployed,0,21,11,Market_Mismatch,The industry I trained for is declining in Kenya,Alternative career path mentorship
35,Female,Bachelor,Mombasa,Self-employed,0,20,31,Resource_Constraints,I need financial support to relocate where jobs are available,Transport subsidy
18,Female,Bachelor,Machakos,Employed,5,46,21,Market_Mismatch,My field of study doesn't have many opportunities locally,Industry transition program
20,Female,Secondary,Kakamega,Unemployed,1,43,28,Opportunity_Shortage,The economy isn't creating enough jobs for graduates,Gig economy onboarding
29,Female,Diploma,Kakamega,Unemployed,12,22,22,Opportunity_Shortage,Companies aren't hiring in my field right now,Gig economy onboarding
28,Male,Primary,Nakuru,Self-employed,11,29,0,Market_Mismatch,My skills are not valued in the current job market,Career redirection counseling
26,Female,Bachelor,Kakamega,Self-employed,6,27,31,Market_Mismatch,My skills are not valued in the current job market,Industry transition program
